Type of Vehicle,# of Doors,Mileage,2W or 4W Drive,Seating Capacity,References
SUV,4,70762,2,5,https://www.carvana.com/vehicle/1714481
SUV,4,79645,4,5,https://www.carvana.com/vehicle/1712683
SUV,4,43124,2,5,https://www.carvana.com/vehicle/1712131
SUV,4,52145,4,5,https://www.carvana.com/vehicle/1708972
SUV,4,92763,4,7,https://www.carvana.com/vehicle/1707572
SUV,4,56579,2,7,https://www.carvana.com/vehicle/1716118
SUV,4,75421,2,5,https://www.carvana.com/vehicle/1706556
SUV,2,47042,4,4,https://www.carvana.com/vehicle/1706494
SUV,4,40675,2,7,https://www.carvana.com/vehicle/1704382
SUV,4,46299,2,5,https://www.carvana.com/vehicle/1703326
SUV,4,70290,2,7,https://www.carvana.com/vehicle/1702265
SUV,4,87467,4,5,https://www.carvana.com/vehicle/1701469
SUV,4,49711,4,5,https://www.carvana.com/vehicle/1701295
SUV,4,43548,2,5,https://www.carvana.com/vehicle/1701181
SUV,4,19282,2,5,https://www.carvana.com/vehicle/1715600
SUV,4,8904,4,5,https://www.carvana.com/vehicle/1716528
SUV,4,12277,4,5,https://www.carvana.com/vehicle/1715419
SUV,4,72228,4,6,https://www.carvana.com/vehicle/1715400
Sedan,4,10197,2,5,https://www.carvana.com/vehicle/1716214
Sedan,4,5074,2,5,https://www.carvana.com/vehicle/1715544
Sedan,4,15390,2,5,https://www.carvana.com/vehicle/1715528
Sedan,4,54601,2,5,https://www.carvana.com/vehicle/1717156
Sedan,4,6867,2,5,https://www.carvana.com/vehicle/1714782
Sedan,4,12658,2,5,https://www.carvana.com/vehicle/1714241
Sedan,4,32967,2,5,https://www.carvana.com/vehicle/1714214
Sedan,4,22442,4,5,https://www.carvana.com/vehicle/1713462
Sedan,4,25786,2,5,https://www.carvana.com/vehicle/1712720
Sedan,4,32252,2,5,https://www.carvana.com/vehicle/1711470
Sedan,4,51175,4,5,https://www.carvana.com/vehicle/1711941
Sedan,4,47335,2,5,https://www.carvana.com/vehicle/1705974
Sedan,4,29776,4,5,https://www.carvana.com/vehicle/1711781
Sedan,4,30219,2,5,https://www.carvana.com/vehicle/1696975
Sedan,4,15102,2,5,https://www.carvana.com/vehicle/1710974
Sedan,4,25299,2,5,https://www.carvana.com/vehicle/1709523
Sedan,4,33391,2,5,https://www.carvana.com/vehicle/1710789
Sedan,4,22805,2,5,https://www.carvana.com/vehicle/1715681
Hatchback,4,22084,2,5,https://www.carvana.com/vehicle/1713761
Hatchback,4,21382,2,4,https://www.carvana.com/vehicle/1716289
Hatchback,4,53754,2,5,https://www.carvana.com/vehicle/1714704
Hatchback,4,7907,2,5,https://www.carvana.com/vehicle/1715581
Hatchback,2,42865,2,4,https://www.carvana.com/vehicle/1709668
Hatchback,4,28711,2,5,https://www.carvana.com/vehicle/1708933
Hatchback,4,7199,2,5,https://www.carvana.com/vehicle/1706722
Hatchback,4,60473,2,5,https://www.carvana.com/vehicle/1704860
Hatchback,2,17425,2,5,https://www.carvana.com/vehicle/1704192
Hatchback,4,45500,2,4,https://www.carvana.com/vehicle/1702948
Hatchback,4,68770,2,5,https://www.carvana.com/vehicle/1698660
Hatchback,2,40564,2,4,https://www.carvana.com/vehicle/1698290
Hatchback,2,32275,2,4,https://www.carvana.com/vehicle/1697094
Hatchback,2,92787,2,5,https://www.carvana.com/vehicle/1688704
Hatchback,4,31922,2,5,https://www.carvana.com/vehicle/1682495
Hatchback,4,31331,2,5,https://www.carvana.com/vehicle/1673610
Hatchback,4,47524,2,5,https://www.carvana.com/vehicle/1670512
Hatchback,2,92181,2,4,https://www.carvana.com/vehicle/1654203
Truck,4,12327,4,6,https://www.carvana.com/vehicle/1714710
Truck,4,13715,4,5,https://www.carvana.com/vehicle/1681333
Truck,4,36241,2,6,https://www.carvana.com/vehicle/1709549
Truck,4,6769,4,4,https://www.carvana.com/vehicle/1710361
Truck,2,19326,2,3,https://www.carvana.com/vehicle/1709561
Truck,4,20197,4,5,https://www.carvana.com/vehicle/1714408
Truck,4,11191,4,5,https://www.carvana.com/vehicle/1710425
Truck,2,24174,2,3,https://www.carvana.com/vehicle/1704309
Truck,4,82615,4,5,https://www.carvana.com/vehicle/1640773
Truck,4,73112,4,6,https://www.carvana.com/vehicle/1636679
Truck,4,52195,2,5,https://www.carvana.com/vehicle/1369559
Truck,4,95922,4,5,https://www.carvana.com/vehicle/1652691
Truck,4,21878,2,6,https://www.carvana.com/vehicle/1659196
Truck,4,56000,2,6,https://www.carmax.com/car/19467038
Truck,4,23000,4,6,https://www.carmax.com/car/19528244
Truck,2,47000,2,4,https://www.carmax.com/car/20115680
Truck,4,15000,4,5,https://www.carmax.com/car/19770489
Truck,4,3000,2,5,https://www.carmax.com/car/20121391
Coupe,2,41890,2,2,https://www.carvana.com/vehicle/1705803
Coupe,2,10937,2,5,https://www.carvana.com/vehicle/1715805
Coupe,2,35906,4,4,https://www.carvana.com/vehicle/1710220
Coupe,2,25014,2,5,https://www.carvana.com/vehicle/1681696
Coupe,2,1969,2,2,https://www.carvana.com/vehicle/1701021
Coupe,2,25342,2,4,https://www.carvana.com/vehicle/1656488
Coupe,2,5914,2,2,https://www.carvana.com/vehicle/1713135
Coupe,2,57138,4,4,https://www.carvana.com/vehicle/1634851
Coupe,2,43491,2,4,https://www.carvana.com/vehicle/1690120
Coupe,2,19807,2,2,https://www.carvana.com/vehicle/1687983
Coupe,2,6233,2,4,https://www.carvana.com/vehicle/1711367
Coupe,2,25014,2,4,https://www.carvana.com/vehicle/1681696
Coupe,2,17467,4,4,https://www.carvana.com/vehicle/1705702
Coupe,2,16070,2,2,https://www.carvana.com/vehicle/1699733
Coupe,2,46342,2,5,https://www.carvana.com/vehicle/1659737
Coupe,2,41107,2,4,https://www.carvana.com/vehicle/1656931
Coupe,2,43491,2,4,https://www.carvana.com/vehicle/1690120
Coupe,2,49074,2,5,https://www.carvana.com/vehicle/1604615
Wagon,4,104000,4,5,https://www.carmax.com/car/19827555
Wagon,4,57000,4,5,https://www.carmax.com/car/20012986
Wagon,4,52205,4,5,https://www.carvana.com/vehicle/1712954
Wagon,4,59012,2,5,https://www.carvana.com/vehicle/1714812
Wagon,4,84297,2,5,https://www.carvana.com/vehicle/1712378
Wagon,4,37550,2,5,https://www.carvana.com/vehicle/1712510
Wagon,4,19701,2,5,https://www.carvana.com/vehicle/1710322
Wagon,4,52820,4,5,https://www.carvana.com/vehicle/1704478
Wagon,4,88854,2,5,https://www.carvana.com/vehicle/1706503
Wagon,4,38790,4,5,https://www.carvana.com/vehicle/1704794
Wagon,4,74144,2,5,https://www.carvana.com/vehicle/1703967
Wagon,4,93672,2,5,https://www.carvana.com/vehicle/1699833
Wagon,4,8211,4,5,https://www.carvana.com/vehicle/1696857
Wagon,4,11890,2,5,https://www.carvana.com/vehicle/1698125
Wagon,4,24048,2,5,https://www.carvana.com/vehicle/1686352
Wagon,4,52660,4,5,https://www.carvana.com/vehicle/1687662
Wagon,4,34980,2,5,https://www.carvana.com/vehicle/1687356
Wagon,4,72340,4,5,https://www.carvana.com/vehicle/1672033
Minivan,4,43628,2,7,https://www.carvana.com/vehicle/1714646
Minivan,4,32544,2,7,https://www.carvana.com/vehicle/1711810
Minivan,4,29729,4,7,https://www.carvana.com/vehicle/1708373
Minivan,4,60654,2,5,https://www.carvana.com/vehicle/1703119
Minivan,4,16838,2,8,https://www.carvana.com/vehicle/1703105
Minivan,4,5453,2,2,https://www.carvana.com/vehicle/1666667
Minivan,4,7896,2,7,https://www.carvana.com/vehicle/1657952
Minivan,4,84547,2,7,https://www.carvana.com/vehicle/1623717
Minivan,3,21297,2,2,https://www.carvana.com/vehicle/1614472
Minivan,4,142656,2,7,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageBody&bodyTypeGroup=bg4&minPrice=0&maxPrice=&zip=79403#listing=286932710
Minivan,4,185536,2,7,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePageBody&bodyTypeGroup=bg4&minPrice=0&maxPrice=&zip=79403#listing=296284278
Minivan,4,94434,2,7,https://www.carvana.com/vehicle/1647630
Minivan,4,33380,2,7,https://www.carvana.com/vehicle/1688657
Minivan,3,44800,2,2,https://www.carvana.com/vehicle/1641154
Minivan,4,97208,2,7,https://www.carvana.com/vehicle/1640470
Minivan,4,80135,2,7,https://www.carvana.com/vehicle/1636006
Minivan,4,62093,2,8,https://www.carvana.com/vehicle/1655185
Minivan,4,15163,2,8,https://www.carvana.com/vehicle/1715438
Convertible,2,26046,2,2,https://www.carvana.com/vehicle/1711695
Convertible,4,31284,2,4,https://www.carvana.com/vehicle/1714585
Convertible,2,45752,2,4,https://www.carvana.com/vehicle/1712029
Convertible,2,24044,2,4,https://www.carvana.com/vehicle/1706903
Convertible,2,65532,2,2,https://www.carvana.com/vehicle/1701685
Convertible,2,18757,2,4,https://www.carvana.com/vehicle/1696662
Convertible,2,93308,2,4,https://www.carvana.com/vehicle/1696691
Convertible,2,5825,2,2,https://www.carvana.com/vehicle/1673063
Convertible,2,38255,2,2,https://www.carvana.com/vehicle/1710815
Convertible,2,58736,2,4,https://www.carvana.com/vehicle/1643613
Convertible,2,47398,2,4,https://www.carvana.com/vehicle/1630017
Convertible,2,16700,2,4,https://www.carvana.com/vehicle/1668149
Convertible,2,37573,4,4,https://www.carvana.com/vehicle/1654698
Convertible,2,23466,2,4,https://www.carvana.com/vehicle/1707615
Convertible,2,28319,2,2,https://www.carvana.com/vehicle/1618852
Convertible,2,83789,2,4,https://www.carvana.com/vehicle/1682936
Convertible,2,32121,2,2,https://www.carvana.com/vehicle/1700508
Convertible,2,40798,2,4,https://www.carvana.com/vehicle/1628878
Limousine,4,62000,4,18,https://limoforsale.com/limos-for-sale/audi/q7/2012-audi-q7-suv-stretch-limo-pinnacle-limousine-manufacturing-15317.html
Limousine,4,189000,2,6,https://limoforsale.com/limos-for-sale/chrysler/300/2015-chrysler-300-sedan-stretch-limo-springfield-15318.html
Limousine,4,10500,2,20,https://limoforsale.com/limos-for-sale/cadillac/escalade/2003-cadillac-escalade-suv-stretch-limo-royal-coach-builders-15316.html
Limousine,3,105000,2,28,https://limoforsale.com/limos-for-sale/ford/f_550/2017-ford-f-550-mini-bus-limo-tiffany-coachworks-15103.html
Limousine,2,134900,2,8,https://limoforsale.com/limos-for-sale/mercedes-benz/sprinter/2020-mercedes-benz-sprinter-van-limo-midwest-automotive-designs-13989.html
Limousine,4,19900,2,24,https://limoforsale.com/limos-for-sale/hummer/h2/2008-hummer-h2-suv-stretch-limo-royal-coach-builders-15300.html
